,영화제목,별점,감상평
74,샹치와 텐 링즈의 전설,3,오글거리는 부분도 많았고 그냥 중국무협영화같았음.. 액션신도 좀 오바스러운 부분도 많았고 많이 아쉬움 근데 다음 마블시리즈를 보기위해 필요한 영화같기도 함 특히 쿠키영상 그거 말고는 뭐..
75,새콤달콤,10,
76,모가디슈,3,류승완 감독은 이런 색깔적인거 안넣으면 영화를 만들 수 없는 사람? 무슨 영환가 하다가 중간부터 한숨이 더러 나옴.. 액션은 어색하지 않고 볼만했지만 코미디적인 부분을 노린 부분을 볼때 한번도 웃은적 없음. 역시 색깔이 들어간 영화여서인지 서사적인 부분은 기대할 필요도없이 뻔하게 흘러가고 마지막 역시 뻔함. 딴거 보세여들. 곧있으면 스트리밍 앱에 우후죽순으로 나올 수준의 영화이니.
77,주토피아,10,와 왜 지금 봤지 큰 극장화면에서 볼껄 ㅠㅠㅠ 진짜 너무너무 귀엽넹
78,마스터,7,뭘 보여줄려는지는 알겠다 근데 좀 영화감독으로서의 겉멋허세가 엄청 껴있는 영화라 굉장히 불친절하고 일부러 이해 안되게 숨겨 놓고 이게 이해 안되나 수준차이나는구만 이러는 느낌의 영화다 대중에게 보여줄 생각으로 만든게아님 이걸 보고 다 감동적으로 느낄수가 없는 구성인데 주변 눈치를 엄청보고 남들이 대단하다고 하니까 그냥 나도 대단하다 해야겠다 싶은 라오어2 때가 떠오름 인정할수밖에 없는건 호아킨 피닉스 연기는 미쳤다는 점
79,샹치와 텐 링즈의 전설,10,솔직히 기대 안하고 봤는데 신선한 마블 영화입니다맨몸액션이랑 마블의 판타지적인 액션 모두 즐길 수 있어서 좋아요
80,도마뱀,10,
81,조폭 마누라,10,재밌는데 평점 뭐야 또본다 오늘
82,샹치와 텐 링즈의 전설,10,최근 개봉작들중 가장 재밌게 시간가는줄 모르고 봤습니다. 돈이 아깝지않음
83,해바라기,10,유명 짤과 대사를 만든 영화 마지막 사이다씬은 대박이였다 내 인생영화 그리고 치킨프랜차이즈까지 ㅎ
84,샹치와 텐 링즈의 전설,8,기대 이상으로 화려했던 액션씬이 압도적이였다.! 하지만 결말 장면이 조금 아쉬웠음쿠키영상 2개나 있음 그리고 꽤 길어요
85,인질,7,"황정민을 보고 만든 영화, 황정민의 연기력 감상 영화"
86,샹치와 텐 링즈의 전설,1,ㅋㅋ 중국시장을 위한 c급 영화에 그 자리를 지키고 싶은 평론가들의 병론 ㅋㅋㅋ 우와 !! 마블이 마동석을 '스카웃' 했대 ! 역시 k 배우 ~ 우와 마블이 영화에서 '한국'을 언급했대 ! 그걸 그냥 중국에다 한건데 신경쓸필요나 있을까 ? Cg나 스토리나 10년전에 쓰던걸 가져와도 문제는 없지 어차피 미개한 에이시안들은 좋아서 발딱거림 ㅋㅋㅋ
87,뱅드림! 로젤리아 에피소드 Ⅱ : 송 아이 엠,10,그냥 무조건 보세요ㅠㅜ 라우더네오아펙송아엠으로 이어지는 부분이 갓벽
88,스네이크 아이즈: 지.아이.조,2,우와 현대차 잘 달리네... 스토리는 엉성하다.
89,군함도,2,이 역사적으로 안타깝고 중요한 중요한 소재를 이렇게 쓰다니...별하나도 아까워요...  다시 이소재로 좋은 영화가 나왓음 좋겟네요
90,군함도,2,이 역사적으로 안타깝고 중요한 중요한 소재를 이렇게 쓰다니...별하나도 아까워요...  다시 이소재로 좋은 영화가 나왓음 좋겟네요
91,이스케이프 룸 2: 노 웨이 아웃,6,정신줄 놓으면 죽는다
92,니드 포 스피드,4,"긴장감 없는 스피드, 엉성한 스토리"
93,샹치와 텐 링즈의 전설,8,"등장인물 : 양동근, 정인, 유시민"
94,샹치와 텐 링즈의 전설,10,마블연화좋아하시는분들은 꼭보세요 꿀잼
95,초행,10,
96,밀양,5,평이 좋아서 봤는데 하필 주인공이 맘충이라서 맘이 퐈악 상해부렀으ㅠ 그래도 히스테리 부리는 한국 여성 묘사가 리얼해서 5점은 준다.
97,해운대,1,와 이게뭐야 스토리  연출 연기 다 엉망진창. 박중훈은 80년대 영화보는줄 대사치는거 책읽고있음ㅋ 다른배우들도 다 합이 안맞는지 몽땅 다 이상하고 하나도 안웃기고 하나도 안슬픔 이런영화가 흥행성공했다?ㅋㅋ
98,샹치와 텐 링즈의 전설,10,마블이 만든 중국 전래동화 양조위가 모든 출연진을 압살한다
99,샹치와 텐 링즈의 전설,10,
